Department,Template Name,Template JSON,Folder Path Pattern,File Naming Pattern,is_active
Finance,[Finance] Payment Voucher,"{""Voucher No.//Requisition No.//Payment No."":"""",""Payee Name//Pay to"":"""",""Date"":"""",""Payment Amount HKD//Payment Amount USD//Paid Amount//Autopay Amount"":"""",""Claims No.//Claim No."":""""}",Finance/Payment Voucher/[index1],[index1]-[index3]-[index4],1
Finance,[Finance] Journal Voucher,"{""Reference//Reference(15)"":"""",""Default Period"":"""",""Journal//Journal Number"":"""",""Account"":"""",""Description(50)"":""""}",Finance/Journal Voucher,[index3]-[index5],1
Finance,[Finance] Receipt Voucher,"{""No.//收據號碼"":"""",""Received from//By Order of Name//Address//兹收到"":"""",""Account Code//帳戶號碼"":"""",""Date//Entry Date//日期"":"""",""In the sum of//Amount//In sum of//款項共 "":"""",""In settlement of//settlement of//為繳付//Claim No."":""""}",Finance/Receipt Voucher/[index1],[index1]-[index5],1
Marine,[Marine] Debit Note or Credit Note,"{""Class of Business"":"""",""Client Name & Address "":"""",""Client No."":"""",""Policy No."":"""",""Endorsement No."":"""",""Source No."":""""}",Marine/[index4]/Debit Note or Credit Note,[index4]-[index5],1
Marine,[Marine] Hull Endorsement,"{""Policy No"":"""",""Endorsement No."":"""",""Class of Business"":"""",""Insured"":"""",""Period of Insurance"":"""",""Client No"":"""",""Source No"":""""}",Marine/[index4]/[index5]/Endorsement,[index4]-[index1]-[index2]-[index5],1
Marine,[Marine] Policy Schedule,"{""The Company"":"""",""Insured"":"""",""Policy No."":"""",""Period of Insurance"":"""",""Type of Cover"":"""",""Client No."":"""",""Source No."":""""}",Marine/[index7]/[index4]/Policy,[index2]-[index3]-[index4],1
Marine,[Marine] Marine Cargo Open Cover,"{""Open Cover No."":"""",""Assured"":"""",""Period of Insurance"":""""}",Marine/[index3]/Policy,[index1]-[index3],1
Marine,[Marine] Marine Cargo Insurance Policy,"{""Policy Number"":"""",""Period of Insurance//Departure on or about"":"""",""Date Issued"":"""",""Source / Client Number//Client Number// Source"":"""",""Assured"":""""}",Marine/[index2]/Policy,[index1]-[index2],1
Marine,[Marine] Checklist for Document Processing,"{""Policy Number"":"""",""Inception Date"":"""",""Expiry Date"":"""",""Agent / Broker //Agent//Broker"":""""}",Marine/[index1]/Checklist,[index1]-[index2]-[index3],1
Marine,[Marine] Certificate of Insurance,"{""Certificate Number"":"""",""Open Cover Number"":"""",""Date Issued"":"""",""Assured"":"""",""Sailing / Departure Date (on or about)//Sailing / Departure Date//Sailing//Sailing Date//Departure Date"":""""}",Marine/[index4]/Certificate of Insurance,[index4]-[index2],1
Marine,[Marine] Quotation,"{""Date"":"""",""Type of Insurance"":"""",""Quotation Number"":"""",""Assured Name "":"""",""Period of Insurance"":""""}",Marine/[index4]/[index5]/Quotation,[index4]-[index3]-[index5],1
Marine,[Marine] Cover Note,"{""Cover Note Number"":"""",""Open Cover Number"":"""",""Date Issued"":"""",""Assured"":"""",""Sailing / Departure Date (on or about)//Sailing / Departure Date//Departure Date (on or about)//Sailing//Departure Date"":""""}",Marine/[index4]/Cover Note,[index4]-[index2],1
Marine,[Marine] Premium Closing Advice,"{""Type"":"""",""Reinsured"":"""",""Named Insureds"":"""",""Policy Period"":""""}",Marine/[index2]/Premium Closing Advice,[index2],1
EB,[EB] Policy Advice,"{""Policy No."":"""",""Policyholder"":"""",""Client No "":"""",""Policy Period"":"""",""Source Name"":"""",""Source Code"":""""}",EB/EB Policy/[index1]/[index2]/[index4]/Policy Advice,,1
EB,[EB] Member List,"{""POLICY NO."":"""",""POLICYHOLDER"":"""",""PERIOD OF INSURANCE"":"""",""PLAN"":"""",""REF NO."":""""}",EB/EB Policy/[index1]/[index2]/[index3]/Member List,,1
EB,[EB] Premium Credit / Debit Note,"{""TO"":"""",""DEBIT NOTE NO.//DEBIT NOTE//NO"":"""",""AGENT/BROKER//BROKER//AGENT"":"""",""TYPE OF POLICY"":"""",""POLICY NO."":""""}",EB/EB Policy/[index5]/[index2],,1
EB,[EB] OUTPATIENT CLAIM FORM,"{""Policy No. 保單號碼//Policy No.//保單號碼"":"""",""Policyholder Name 保單持有⼈名//Policyholder Name//保單持有⼈名//ClaimantEmployer//Policyholder_Name_保單持有人名稱"":"""",""Group Medical Insurance Policy No."":"""",""Ref. No.//Reference No.//Referenc No."":""""}",EB/EB Claims/[index1]/[index2]/[index4],,1
EB,[EB] Support doc. with cover letter,"{""Policy No.//Policy Number"":"""",""Policyholder"":"""",""Policy Period"":"""",""ShortName"":""""}",EB/EB Policy/[index1]/[index2]/Support documents,,1
EB,[EB] INSURANCE SCHEDULE,"{""Policy No."":"""",""Policyholder"":"""",""Plan"":"""",""Commencement Date"":"""",""Period of Insurance"":"""",""Basis of Insurance"":"""",""Members"":"""",""Mode of Payment"":""""}",EB/EB Policy/[index1]/[index2]/[index5]/Insurance Schedule,,1
